post_id,post_url,published_date,reactions,sub_reactions,comments,shares,context
837526801749791,https://www.facebook.com/init.kobeengineer/posts/837526801749791,2024-03-29 04:45:37,166,"{'哈': '87', '讚': '73', '哇': '6', '怒': '0', '大心': '0', '加油': '0', '嗚': '0'}",49,6,"#純靠北工程師7ri
----------
考績依照整年修改的程式支數決定，改越多考績越好、改的少排後面。結果新增跟刪除無意義的註解也包括修改支數，這真的是IT人該有的思維嗎?"
837506118418526,https://www.facebook.com/init.kobeengineer/posts/837506118418526,2024-03-29 03:54:04,195,"{'讚': '79', '嗚': '62', '加油': '45', '哈': '5', '哇': '4', '怒': '0', '大心': '0'}",12,3,"#純靠北工程師7rk
----------
老闆說，金主搞了個新系統，要我去對接，所以我進來時答應給的案子得抽掉，ok。

老闆說，金主想把系統底層換一套，所以我剛完成的項目不上，在這基礎上做新的，ok。

老闆說，金主想在新系統上多做些服務再開，所以我剛壓過的那些東西先不上，ok。

老闆說，金主覺得手下團隊效率不彰，想把組織整理好再談合作案，要我先支援其它幾個金主可能感興趣的項目，ok。

老闆說，金主那好了，問我這一年半做過但hold住的所有東西，能不能根據三天前寄來的guideline全部翻新後，下禮拜給他？ok。

老闆說，在我方成品交付日的晚上八點半，金主家的新團隊寄來了規格變更，問我能不能在這週末前改好？ok。

老闆說，這兩年我做得很好，之後有個組織變動能換到想去的團隊重點培養，薪資重談，問我意下如何？

我說我只再做20天。

...

抱歉，這篇沒有什麼笑點或爆點，只有一個身心俱疲的打工仔而已。"
836970875138717,https://www.facebook.com/init.kobeengineer/posts/836970875138717,2024-03-28 12:13:28,97,"{'讚': '64', '哈': '31', '加油': '1', '哇': '1', '怒': '0', '大心': '0', '嗚': '0'}",9,7,"#純靠北工程師7rd
----------
同事說：「原本是輸入A可以得到B，改成輸入A可以得到B+X」

我看程式碼看半天找不到這個「輸入A可以得到B」的邏輯！很直覺就是覺得他規格寫錯了啊，後來才知道是輸入A可以得到C，然後輸入C可得到B

同事反問我：「跟我講的有什麼不一樣，都是用A得到B阿」

他說我不懂商業邏輯，說什麼跟User在溝通上都是講輸入A得到B，我如果知道這些就不會糾結在什麼輸A得到C，C再得到B了

我真的很冤枉啦，整天在跟程式碼為伍，每天處理的都是那些枝微末節的小東西、地下水工程，你要把我侷限在一顆樹下抓蟲，還要怪我沒辦法看清楚整片森林，這樣的批評對我而言有公平嗎？"
836927538476384,https://www.facebook.com/init.kobeengineer/posts/836927538476384,2024-03-28 10:49:45,111,"{'讚': '78', '哈': '19', '嗚': '13', '哇': '1', '怒': '0', '大心': '0', '加油': '0'}",26,6,"#純靠北工程師7re
----------
要取別的系統的資料，不是請人家寫一隻API喔，而是自己寫SQL去查對方的table。

我希望這是有不得已的苦衷，因為若不是由對方親自維護的API，那對方很可能會忘記或根本不知道你來系統拿資料，所以未來他們要對自家的table新增什麼資料進去，自然是沒在顧忌你，因為根本不知道你要用

但我不在乎了，沒人在乎我幹嘛在乎呢，我算個屁啊？

我只不過...就是在樹下抓蟲的屁而已......."
836897735146031,https://www.facebook.com/init.kobeengineer/posts/836897735146031,2024-03-28 09:51:33,105,"{'讚': '49', '加油': '30', '嗚': '22', '哈': '2', '哇': '2', '怒': '0', '大心': '0'}",11,4,"#純靠北工程師7rf
----------
真的越想越覺得委屈欸，你們哪一次需求我沒幫你們弄好？我有擺爛不寫、或給別人寫嗎？只是希望規格怎麼調整，這樣我比較方便而已，就說我不懂商業邏輯，那這些年我每每弄完的需求都是假的是不是？還是你是說其實這個系統很簡單，就算沒有商業邏輯也是閉著眼睛都寫得出來？

看來小時候媽媽帶我去找的那個算命師說的沒錯，我這個八字就是天生勞碌命，做到死都沒人會感謝我"
836731711829300,https://www.facebook.com/init.kobeengineer/posts/836731711829300,2024-03-28 03:40:21,356,"{'讚': '193', '哈': '157', '大心': '2', '加油': '2', '哇': '2', '怒': '0', '嗚': '0'}",30,4,"#純靠北工程師7rg
----------
到處托朋友幫忙徵才找人，需要中高階人才。

結果談著談著，變成朋友問我要不要過去他們那邊上班，怎麼辦？？"
836672961835175,https://www.facebook.com/init.kobeengineer/posts/836672961835175,2024-03-28 01:45:46,589,"{'讚': '254', '哈': '214', '哇': '117', '加油': '2', '嗚': '2', '怒': '0', '大心': '0'}",66,18,"#純靠北工程師7ra
----------
分享一下公司的鬼故事，我要離職了
公司的離職切結中夾帶一個條款這樣寫，
「爾後如發現交接事項仍有遺漏不明，
願隨時出面補充說明之」。

本來覺得這是形式，想說就簽了
後來想想真的有離職同事被抓回來講解系統．．．
公司老闆直接打給對方總經理要離職同事協助此事"
836252955210509,https://www.facebook.com/init.kobeengineer/posts/836252955210509,2024-03-27 12:39:05,202,"{'哈': '132', '讚': '66', '哇': '3', '大心': '1', '怒': '0', '加油': '0', '嗚': '0'}",10,12,"#純靠北工程師7r4
----------
跟原廠遠端連線處理問題
讓support操作
看他下了一句shutdown -h now
support:奇怪..您那邊網路有發生甚麼問題嗎.為什麼這台機器連線中斷了
我:......."
836207265215078,https://www.facebook.com/init.kobeengineer/posts/836207265215078,2024-03-27 11:19:51,486,"{'讚': '274', '哈': '204', '大心': '3', '哇': '3', '加油': '2', '怒': '0', '嗚': '0'}",60,21,"#純靠北工程師7r5
----------
不是每三個月要換密碼，而且不能與前三次一樣。你的密碼怎麼還是都是原本那一組

前三次？啊就連換四次，第四次改成原本的呀！"
836125118556626,https://www.facebook.com/init.kobeengineer/posts/836125118556626,2024-03-27 08:57:00,71,"{'讚': '41', '哈': '28', '哇': '2', '怒': '0', '大心': '0', '加油': '0', '嗚': '0'}",6,0,"#純靠北工程師7r6
----------
回想起1年多前，那時候剛上任的長官，想要蒐集員工們對他的看法，開了個樹洞讓大家填寫。
記得某次的線上會議，他還很開心展示大家對他的看法，誇讚同仁們提出很棒的建議，希望大家一起努力向目標，當時還說要再把樹洞重新開放。
可是，都已經2024年了，為什麼還沒看到樹洞打開阿？
我期待很久了耶QQ"
